HG01879	L3
HG01880	L2
HG01882	L0
HG01883	L2
HG01885	L1
HG01886	L1
HG01889	L2
HG01890	L2
HG01894	L3
HG01896	L2
HG01912	L3
HG01914	L3
HG01915	L2
HG01956	L1
HG01958	L2
HG01985	L3
HG01986	L1
HG01988	L1
HG01989	L2
HG01990	L1
HG02009	L2
HG02010	L1
HG02012	L3
HG02013	L3
HG02014	L1
HG02051	L2
HG02052	L1
HG02053	L1
HG02054	U
HG02095	L3
HG02107	L3
HG02108	L1
HG02111	L0
HG02143	L3
HG02144	L2
HG02255	L3
HG02256	C
HG02281	L2
HG02282	L1
HG02283	L1
HG02284	L2
HG02307	L1
HG02308	L3
HG02309	L3
HG02314	L2
HG02315	L3
HG02317	L2
HG02318	L3
HG02322	L1
HG02323	L3
HG02325	L2
HG02330	L3
HG02332	L1
HG02334	J
HG02337	L2
HG02339	L3
HG02343	L1
HG02419	L2
HG02420	L0
HG02427	L1
HG02429	L2
HG02433	L0
HG02439	L2
HG02442	L1
HG02445	B
HG02449	L3
HG02450	L3
HG02455	L2
HG02470	L3
HG02471	L3
HG02476	L2
HG02477	L1
HG02479	L2
HG02481	L2
HG02484	L3
HG02485	H
HG02489	L2
HG02496	L4
HG02497	L2
HG02501	L2
HG02502	L2
HG02505	L2
HG02508	L2
HG02511	A
HG02536	L2
HG02537	L3
HG02541	L3
HG02545	L2
HG02546	L2
HG02549	L2
HG02554	L2
HG02555	L2
HG02557	L2
HG02558	L3
HG02577	L2
HG02580	L1
NA19625	L2
NA19700	L3
NA19701	D
NA19703	L0
NA19704	L3
NA19707	L3
NA19711	L3
NA19712	L1
NA19713	L0
NA19818	L3
NA19819	L3
NA19834	L1
NA19835	L2
NA19900	L3
NA19901	L3
NA19904	L0
NA19908	L2
NA19909	L1
NA19913	L3
NA19914	L1
NA19916	L1
NA19917	L1
NA19920	L3
NA19921	L3
NA19922	L3
NA19923	L2
NA19982	M
NA19984	L2
NA20126	L2
NA20127	L2
NA20274	L2
NA20276	L2
NA20278	L3
NA20281	L1
NA20282	L1
NA20287	L2
NA20289	L1
NA20291	L3
NA20294	L3
NA20296	L3
NA20298	L3
NA20299	C
NA20314	A
NA20317	L3
NA20318	L3
NA20320	L1
NA20321	L1
NA20332	L2
NA20334	L0
NA20339	L3
NA20340	L2
NA20342	L3
NA20346	L3
NA20348	L3
NA20351	L2
NA20355	L0
NA20356	U
NA20357	L2
NA20359	L1
NA20362	L1
NA20412	L1
HG03006	M
HG03007	M
HG03009	H
HG03012	M
HG03585	M
HG03589	M
HG03593	M
HG03594	M
HG03595	M
HG03598	M
HG03600	M
HG03603	U
HG03604	R
HG03607	M
HG03611	M
HG03615	M
HG03616	M
HG03793	A
HG03796	M
HG03800	M
HG03802	U
HG03803	M
HG03805	M
HG03808	M
HG03809	M
HG03812	R
HG03814	M
HG03815	W
HG03817	U
HG03821	R
HG03823	U
HG03824	M
HG03826	U
HG03829	U
HG03830	M
HG03832	M
HG03833	J
HG03902	J
HG03905	M
HG03907	M
HG03908	U
HG03910	M
HG03911	R
HG03913	M
HG03914	M
HG03916	U
HG03917	M
HG03919	M
HG03920	R
HG03922	M
HG03925	M
HG03926	M
HG03928	M
HG03931	R
HG03934	M
HG03937	R
HG03940	M
HG03941	M
HG04131	D
HG04134	U
HG04140	M
HG04141	M
HG04144	M
HG04146	M
HG04152	M
HG04153	M
HG04155	M
HG04156	W
HG04158	U
HG04159	U
HG04161	M
HG04162	F
HG04164	M
HG04171	M
HG04173	M
HG04176	M
HG04177	M
HG04180	M
HG04182	D
HG04183	M
HG04185	M
HG04186	M
HG04188	M
HG04189	R
HG04194	M
HG04195	M
NA06984	U
NA06985	U
NA06986	K
NA06989	U
NA06994	U
NA07000	T
NA07037	T
NA07048	H
NA07051	H
NA07056	W
NA07347	H
NA07357	U
NA10847	H
NA10851	V
NA11829	T
NA11830	U
NA11831	H
NA11832	H
NA11840	H
NA11843	J
NA11881	H
NA11892	K
NA11893	V
NA11894	T
NA11918	H
NA11919	H
NA11920	H
NA11930	H
NA11931	H
NA11932	H
NA11933	W
NA11992	U
NA11994	T
NA11995	H
NA12003	T
NA12004	H
NA12005	K
NA12006	H
NA12043	T
NA12044	J
NA12045	H
NA12046	T
NA12058	H
NA12144	H
NA12154	J
NA12155	H
NA12156	U
NA12234	J
NA12249	H
NA12272	H
NA12273	J
NA12275	H
NA12282	J
NA12283	H
NA12286	H
NA12287	U
NA12340	H
NA12341	H
NA12342	I
NA12347	U
NA12348	U
NA12383	V
NA12399	H
NA12400	W
NA12413	W
NA12414	J
NA12489	H
NA12546	H
NA12716	H
NA12717	H
NA12718	U
NA12748	H
NA12749	H
NA12750	T
NA12751	U
NA12760	H
NA12761	U
NA12762	H
NA12763	T
NA12775	W
NA12776	U
NA12777	H
NA12778	H
NA12812	H
NA12813	U
NA12814	U
NA12815	H
NA12827	H
NA12828	H
NA12829	H
NA12830	H
NA12842	H
NA12843	U
NA12872	H
NA12873	H
NA12874	J
NA12878	H
NA12889	H
NA12890	H
HG00759	M
HG00766	D
HG00844	C
HG00851	D
HG00864	C
HG00867	F
HG00879	B
HG00881	D
HG00956	F
HG00978	R
HG00982	B
HG01028	M
HG01029	M
HG01031	B
HG01046	B
HG01794	F
HG01795	M
HG01796	R
HG01797	F
HG01798	B
HG01799	B
HG01800	F
HG01801	F
HG01802	F
HG01804	D
HG01805	F
HG01806	F
HG01807	D
HG01808	C
HG01809	F
HG01810	M
HG01811	B
HG01812	M
HG01813	B
HG01815	B
HG01816	F
HG01817	M
HG02151	C
HG02152	D
HG02153	F
HG02154	D
HG02155	D
HG02156	M
HG02164	R
HG02165	B
HG02166	M
HG02178	F
HG02179	F
HG02180	M
HG02181	F
HG02182	B
HG02184	R
HG02185	M
HG02186	B
HG02187	M
HG02188	F
HG02190	D
HG02250	R
HG02351	B
HG02353	R
HG02355	M
HG02356	M
HG02360	F
HG02364	F
HG02367	M
HG02371	M
HG02373	R
HG02374	R
HG02375	F
HG02379	M
HG02380	C
HG02382	R
HG02383	D
HG02384	M
HG02385	B
HG02386	B
HG02389	M
HG02390	M
HG02391	M
HG02392	D
HG02394	F
HG02395	R
HG02396	M
HG02397	D
HG02398	F
HG02399	R
HG02401	M
HG02402	B
HG02406	F
HG02407	F
HG02408	B
HG02409	R
HG02410	R
NA18525	F
NA18526	G
NA18528	B
NA18530	D
NA18531	D
NA18532	D
NA18533	D
NA18534	F
NA18535	D
NA18536	R
NA18537	B
NA18538	M
NA18539	K
NA18541	R
NA18542	C
NA18543	M
NA18544	B
NA18545	F
NA18546	R
NA18547	C
NA18548	C
NA18549	R
NA18550	M
NA18552	B
NA18553	N
NA18555	R
NA18557	D
NA18558	D
NA18559	B
NA18560	F
NA18561	F
NA18562	D
NA18563	N
NA18564	R
NA18565	D
NA18566	C
NA18567	B
NA18570	G
NA18571	F
NA18572	A
NA18573	D
NA18574	M
NA18577	M
NA18579	A
NA18582	M
NA18591	D
NA18592	F
NA18593	M
NA18595	D
NA18596	M
NA18597	D
NA18599	D
NA18602	M
NA18603	F
NA18605	D
NA18606	F
NA18608	M
NA18609	F
NA18610	M
NA18611	A
NA18612	N
NA18613	N
NA18614	R
NA18615	A
